publication_date,job_listings,forecast,lower,upper
2018-01-31,59364.0,,,
2018-02-28,57941.0,,,
2018-03-31,64961.0,,,
2018-04-30,63665.0,,,
2018-05-31,67723.0,,,
2018-06-30,54236.0,,,
2018-07-31,39680.0,,,
2018-08-31,55751.0,,,
2018-09-30,53599.0,,,
2018-10-31,61656.0,,,
2018-11-30,56585.0,,,
2018-12-31,47808.0,,,
2019-01-31,59673.0,,,
2019-02-28,56558.0,,,
2019-03-31,63121.0,,,
2019-04-30,63219.0,,,
2019-05-31,63228.0,,,
2019-06-30,46870.0,,,
2019-07-31,36900.0,,,
2019-08-31,47923.0,,,
2019-09-30,48656.0,,,
2019-10-31,56726.0,,,
2019-11-30,50482.0,,,
2019-12-31,47018.0,,,
2020-01-31,55425.0,,,
2020-02-29,57183.0,,,
2020-03-31,50581.0,,,
2020-04-30,36531.0,,,
2020-05-31,35291.0,,,
2020-06-30,34907.0,,,
2020-07-31,23932.0,,,
2020-08-31,31280.0,,,
2020-09-30,40590.0,,,
2020-10-31,43536.0,,,
2020-11-30,43973.0,,,
2020-12-31,39902.0,,,
2021-01-31,40080.0,,,
2021-02-28,48409.0,,,
2021-03-31,62548.0,,,
2021-04-30,64773.0,,,
2021-05-31,64442.0,,,
2021-06-30,58596.0,,,
2021-07-31,39645.0,,,
2021-08-31,52662.0,,,
2021-09-30,72529.0,,,
2021-10-31,73806.0,,,
2021-11-30,78825.0,,,
2021-12-31,77724.0,,,
2022-01-31,77628.0,,,
2022-02-28,90183.0,,,
2022-03-31,105396.0,,,
2022-04-30,91958.0,,,
2022-05-31,108047.0,,,
2022-06-30,89073.0,,,
2022-07-31,61418.0,,,
2022-08-31,88880.0,,,
2022-09-30,94231.0,,,
2022-10-31,101687.0,,,
2022-11-30,87653.0,,,
2022-12-31,85620.0,,,
2023-01-31,93722.0,,,
2023-02-28,90602.0,,,
2023-03-31,112673.0,,,
2023-04-30,94931.0,,,
2023-05-31,126943.0,,,
2023-06-30,86940.0,,,
2023-07-31,62910.0,,,
2023-08-31,76703.0,,,
2023-09-30,77374.0,,,
2023-10-31,74470.0,,,
2023-11-30,68271.0,,,
2023-12-31,57799.0,,,
2024-01-01,,57799.0,57799.0,57799.0
2024-01-31,,67566.4711035846,49593.27369248436,85539.66851468483
2024-02-29,,70018.85980851224,46896.2866709292,93141.43294609527
2024-03-31,,92584.5724823278,66636.89524173776,118532.24972291784
2024-04-30,,80863.71303245818,53221.42383939421,108506.00222552216
2024-05-31,,107382.553493587,78684.33697251441,136080.77001465956
2024-06-30,,76090.83581566639,46721.46555631132,105460.20607502146
